player,country,player_id
TS Mills,ICC World XI,245c97cb
M Fru,Cameroon,0bab1be2
A Meyenborg,Germany,edbc9441
Shadab Khan,Pakistan,9de62878
Maira Khan,Saudi Arabia,32832dc8
K Sinclair,West Indies,314642ed
D Marsic,Croatia,16fa34cf
Ziaur Rehman,Finland,085c1a4c
CN Onwuzulike,Nigeria,715dbf27
Kate Awuah,Ghana,b10e688b
N Mabila,Eswatini,21ef59e3
Aqib Iqbal,Austria,14157abf
BKG Mendis,Sri Lanka,5d1e7582
M Dailesi,Malawi,1aa600b6
Zeeshan Ali,Hong Kong,987187b9
Naeem Islam,Bangladesh,02e83ac5
VV Morea,Papua New Guinea,e64c10dd
SK Chandhrasekar,United States of America,05b2f5ff
Mehedi Hasan Miraz,Bangladesh,c58b0108
T Luka,Malawi,44e008a5
S Mtae,Tanzania,bb641155
D Hemalatha,India,1d6ff329
M Sedgwick,Estonia,82fc5e8d
K Birkenstock,Namibia,27b8d7b6
C Olphert,Ireland,7afc806f
N Jovicevic,Serbia,b7a608b0
Emaan Ejaz,Saudi Arabia,81d5afce
Aizaz Khan,Hong Kong,f6c2659d
Simi Singh,Ireland,c9945bdf
Gagandeep Singh,Bulgaria,4a370769
XM Marshall,West Indies,ffb504b1
A Kadowaki Fleming,Japan,0abf3da7
Hilal Ahmad,Czech Republic,f78aa227
NY McLean,West Indies,1d39dc61
Suraj Kumar,Oman,bb9d73d8
K Piet,Botswana,39fd9295
Viktoria Frey,Estonia,fed9a316
V Khanduri,Cyprus,f0f2b9c5
RE Levi,South Africa,18c78b11
N Nipiko,Vanuatu,c498c510
J Matharu,Canada,f0398c2f
Adri van der Merwe,Namibia,02610bad
NT Miles,Hong Kong,d27d0835
VN Veetil,Qatar,3cf5a041
OP Stone,England,3f659464
K Mohanoe,Lesotho,bf1f5ab0
AA Noffke,Australia,b69e69ed
A Rangaswamy,Botswana,08df0bd3
MJG Rippon,New Zealand,b03db6fa
Rony Talukdar,Bangladesh,8bd614b2
L Lee,South Africa,7b01ce83
Yousif Wali,Bahrain,ed27d267
L Jack,Scotland,e565ceb7
RM Hill,Jersey,9353d2fc
K Oala,Papua New Guinea,df70c3f2
SA Sathiya,Oman,1ba007d8
Ram Krishan,Estonia,b648094c
B Maphosa,Botswana,20d948ae
LN Rajbanshi,Nepal,6ad2d5f7
Mohsin Zaki,Bahrain,09c766ec
C Hinze,Japan,626af7ff
Nazwan Ismail,Maldives,c8e5012c
Sabnam Rai,Nepal,8eb52953
Shoaib Khan,Oman,21afb939
T Stubbs,South Africa,85b3fab2
O Bell,Scotland,385eac52
P Byron,Seychelles,20b559ab
Rashid Khan,Nepal,69cccff3
Atif Rasheed,Finland,c7726eec
KH Sciver-Brunt,England,6a434bd3
I Katzarski,Bulgaria,514628bd
SD Outerbridge,Bermuda,9295145b
V Hristov,Bulgaria,20494202
RO Mazumba,Mozambique,2a753483
PD Blignaut,Namibia,20ab5aad
M Mwamadi,Malawi,00029c30
C Forbes,Eswatini,8a9e3cd0
Qasim Anwar,Cyprus,3852600a
Mubeen Tariq,Portugal,5d6e07a5
Arshad Iqbal,Pakistan,ed031922
D Finau,Samoa,63772ee4
RML Taylor,Scotland,7fa2ab1f
Muhammad Fahim,Belgium,5c57229d
Ismaila Tanba,Gambia,180e2c15
L Anyait,Uganda,cffeef53
DS Smith,West Indies,85ad2217
N Sibanda,Zimbabwe,edf62a25
Nouman Butt,Norway,6d99dc44
Ravinder Singh,Malta,710e1a5c
L Krvaric,Croatia,115b7211
NA Maiolo,Italy,362fde0f
P Heron,Cayman Islands,30b902a3
Abdul Rahman,Singapore,12f53be7
JM Apio,Uganda,2842d925
OJ Hairs,Scotland,c8a7b014
U Aryaman Sunil,Singapore,13bc54a8
Ramanjot Singh,Slovenia,a40710b9
Mudassar Muhammad,Germany,7dde58c9
KMDN Kulasekara,Sri Lanka,469ea22b
Misbah-ul-Haq,Pakistan,7eae4418
LY Loch Srey,Cambodia,a994e18f
Rhys Burinaga,Philippines,a6cbe67b
GI Hume,Ireland,25550d06
UKPW Kumaranayaka,Kuwait,0d24b1f7
Syed Maisam Ali,Portugal,e204b898
S Khurana,Netherlands,9a9a056d
S Badree,ICC World XI,76388dc8
Waleed Rana,Italy,c4281e43
Shawaal Zulfiqar,Pakistan,adb2f55e
C Sutthiruang,Thailand,f6ddfe08
Sumaiya Akter,Bangladesh,469eb822
AP Devcich,New Zealand,ed90abe4
ZL Win,Myanmar,b5714cf9
S Tippoch,Thailand,9c4b58db
C Hartmann,Isle of Man,467c28f9
Junaid Aziz,Bahrain,c39ee9e0
Q Joseph,West Indies,d6164dc0
AB Dinda,India,66b30f71
C Abel,Scotland,d92d3563
A Zampa,Australia,14f96089
WJ Malinda,Maldives,8f5313ce
RD Rickelton,South Africa,e66732f8
Jubaid Ahamed,France,ea5e0599
Ammar Khalid,Canada,af98bf5b
Leitu Leong,Samoa,672e1aea
NJ Reardon,Australia,c7bdb5b5
J Kemp,Jersey,0ab42b8d
RK Parwin,India,57a45277
JR Hopes,Australia,2498e163
V Rathinasamy,Croatia,305c9b8a
Shahreeennawab,Qatar,faa8843f
Mansoor Amjad,Pakistan,9018bf65
Abdullah Rana,Switzerland,c4ab9b94
LK Bennett,Netherlands,ecbbebf1
RA Mair,New Zealand,d5eb8b84
FC Jonas,New Zealand,6df697a9
C Pavely,England,907e5f6c
CJ Ferguson,Australia,9b4935c8
S Vashisht,Romania,20ac8219
TT Beaumont,England,b2664905
IR Bell,England,33155d1b
L Delany,Ireland,b4f73b44
J Nkomo,Zimbabwe,36dfa62e
J Singye,Bhutan,28574428
RR Rossouw,South Africa,cad00a4d
Zain Ahmad,France,ea2c0aff
S Badree,West Indies,76388dc8
SP Gauchan,Nepal,2d8aae2f
GD Elliott,ICC World XI,c03449e0
B Pavlinakova,Czech Republic,8663822d
Mohammad Rizwan,Pakistan,2f26ac1a
Atif Ali Khan,United Arab Emirates,6738c3e2
DJG Sammy,ICC World XI,c03c6200
BMSM Kumari,Sri Lanka,b55fb828
S Mandhana,India,5d2eda89
J Pandey,Nepal,e1214f03
I Nakisuuyi,Uganda,2f145a4f
Ali Dawood,Bahrain,596982e6
UCKA Dona,United Arab Emirates,caa99fcb
SH Johnson,Australia,83c3e8e3
AC Mushangwe,Zimbabwe,db873292
CD McMillan,New Zealand,f5390243
KJ Garth,Ireland,0b69a844
Fayyaz Ahmed,United Arab Emirates,5a6bb1c7
A Chilia,Vanuatu,a0d07fd6
SR Mukkamalla,United States of America,156d0ea2
Azam Khalil,Sweden,ff1e08eb
T Langa,Vanuatu,ffb59fe6
H Carlyon,Jersey,42bf1b7d
PG Fulton,New Zealand,10a2a1ff
AA Deshpande,India,cfa56623
Syed Rehmatullah,Malaysia,fcbdc2b0
RS Morton,West Indies,2f8a9682
Samiullah Rahmani,Sweden,d5c38041
A Modi,Singapore,4edfc785
AL Watkins,New Zealand,d395e33c
AU Rashid,England,249d60c9
Nadeem Ahmed,Hong Kong,023f6b02
BM Pecic,Serbia,71093272
D Staddon,Brazil,4a28527d
S Ingabire,Rwanda,25a2755a
D Simpson,Cook Islands,5d36377e
Shohidul Islam,Bangladesh,607ed7c2
E Millington,Guernsey,9877d487
D Mongia,India,99663fa5
A Djorovic,Serbia,677c18f9
Robiul Islam,Bangladesh,d876610c
LE Kaushalya,Sri Lanka,8b552293
J Liyanage,Sri Lanka,84212ffb
W Ginindza,Eswatini,b5fedf28
R Sai Kishore,India,c7a995d3
Umair Sharif,Saudi Arabia,a19db58e
Anthony Roe,Chile,0dcd8fbd
M Vuruna,Fiji,14d7b24b
RL Chase,West Indies,3feda4fa
KP Bhuva,Qatar,138becd4
Muhammad Muneeb,Belgium,5338b9f5
L Samani,Fiji,0ec3085b
MS Wade,Australia,afa7e784
C Chukwuonye,Nigeria,bb0aac11
P Kerai,Kenya,ab343e93
D la Cock,Namibia,48301a4b
